Kennziffer;Raumeinheit;Aggregat;Kaufkraft;Einzelhandelsrelevante Kaufkraft;Siedlungs- und Verkehrsfläche;Siedlungs- und Verkehrsfläche;Siedlungs- und Verkehrsfläche;Siedlungs- und Verkehrsfläche;Siedlungs- und Verkehrsfläche;Siedlungs- und Verkehrsfläche;Siedlungs- und Verkehrsfläche;Erholungsfläche;Erholungsfläche;Erholungsfläche;Erholungsfläche;Erholungsfläche;Erholungsfläche;Erholungsfläche;Erreichbarkeit von Mittelzentren;Erreichbarkeit von Oberzentren;Nahversorgung Supermärkte Durchschnittsdistanz;Nahversorgung Apotheken Durchschnittsdistanz;Arbeitslose
;;;2015;2015;2016;2017;2018;2019;2020;2021;2022;2016;2017;2018;2019;2020;2021;2022;2021;2021;2021;2021;2015
"14511000";"Chemnitz, Stadt";"Gemeinden";"20.611,10";"6.772,03";"44,66";"44,81";"44,93";"44,99";"45,22";"45,32";"45,33";"9,02";"9,01";"8,99";"8,98";"9,09";"9,14";"9,13";"0,00";"0,00";"534,83";"660,90";"11.267,00"
"14521010";"Amtsberg";"Gemeinden";"20.170,62";"5.864,32";"12,08";"12,12";"12,16";"12,20";"12,51";"12,85";"12,89";"1,25";"1,20";"1,20";"1,20";"1,33";"1,33";"1,29";"16,84";"16,84";"1.342,96";"2.774,47";"90,00"
"14521020";"Annaberg-Buchholz, Stadt";"Gemeinden";"18.943,06";"6.228,01";"27,64";"27,74";"28,06";"28,60";"28,92";"29,38";"29,59";"3,34";"3,37";"3,66";"3,66";"3,73";"3,84";"3,91";"0,00";"37,24";"475,61";"606,24";"1.270,00"
"14521035";"Aue-Bad Schlema, Stadt";"Gemeinden";"19.402,02";"6.223,16";"35,68";"35,74";"37,14";"37,69";"38,07";"38,24";"38,32";"5,63";"5,65";"6,84";"7,11";"7,19";"7,19";"7,25";"0,00";"29,25";"605,40";"839,31";"1.241,00"
"14521040";"Auerbach";"Gemeinden";"19.766,55";"5.884,36";"18,24";"18,00";"18,00";"18,24";"18,36";"19,44";"19,57";"1,33";"1,21";"1,21";"1,45";"1,45";"1,81";"1,81";"14,90";"24,02";"1.038,58";"839,26";"76,00"
"14521060";"Bärenstein";"Gemeinden";"18.222,52";"6.132,80";"27,97";"26,87";"26,87";"27,24";"27,42";"27,42";"27,42";"2,38";"2,38";"2,38";"2,56";"2,56";"2,56";"2,56";"10,87";"48,11";"1.106,54";"1.016,00";"115,00"
"14521080";"Bockau";"Gemeinden";"20.195,85";"5.965,44";"8,36";"8,30";"8,98";"9,14";"9,14";"9,14";"9,19";"0,52";"0,52";"1,04";"1,15";"1,15";"1,15";"1,15";"7,00";"34,41";"669,58";"655,27";"64,00"
"14521090";"Börnichen/Erzgeb.";"Gemeinden";"18.941,81";"5.678,80";"5,57";"5,57";"5,57";"5,63";"5,95";"5,95";"6,02";"0,13";"0,13";"0,13";"0,13";"0,26";"0,26";"0,26";"15,44";"26,28";"2.641,60";"2.392,97";"26,00"
"14521110";"Breitenbrunn/Erzgeb.";"Gemeinden";"20.121,87";"6.057,55";"8,97";"8,97";"8,88";"9,33";"9,40";"9,43";"9,42";"0,72";"0,72";"0,72";"1,07";"1,12";"1,13";"1,13";"13,37";"45,84";"1.702,48";"2.296,08";"140,00"
"14521120";"Burkhardtsdorf";"Gemeinden";"20.512,56";"6.149,23";"15,53";"15,57";"16,85";"17,13";"17,25";"17,39";"17,72";"1,09";"1,09";"1,89";"1,93";"2,03";"2,07";"2,12";"14,98";"16,81";"1.168,60";"1.511,29";"164,00"
"14521130";"Crottendorf";"Gemeinden";"19.779,72";"5.821,56";"7,91";"7,94";"8,59";"8,65";"8,65";"8,70";"8,70";"0,52";"0,55";"0,82";"0,85";"0,85";"0,85";"0,85";"13,22";"45,95";"905,15";"950,94";"94,00"
"14521140";"Deutschneudorf";"Gemeinden";"18.717,17";"5.630,50";"13,01";"13,14";"13,26";"13,88";"14,00";"14,37";"14,76";"0,37";"0,37";"0,50";"0,87";"0,87";"0,99";"0,99";"32,83";"63,13";"4.714,92";"4.339,73";"33,00"
"14521150";"Drebach";"Gemeinden";"18.492,03";"5.705,07";"11,10";"11,17";"11,35";"11,41";"11,44";"11,47";"11,47";"0,61";"0,61";"0,67";"0,67";"0,70";"0,70";"0,70";"14,88";"25,07";"2.049,44";"3.570,77";"143,00"
"14521160";"Ehrenfriedersdorf, Stadt";"Gemeinden";"19.030,07";"5.958,94";"15,48";"15,73";"15,86";"15,92";"15,86";"15,73";"15,73";"1,57";"1,57";"1,57";"1,64";"1,64";"1,51";"1,51";"8,33";"28,91";"462,13";"581,26";"200,00"
"14521170";"Eibenstock, Stadt";"Gemeinden";"18.591,68";"5.922,23";"6,02";"6,05";"6,16";"6,20";"6,25";"6,34";"6,32";"0,36";"0,36";"0,43";"0,44";"0,45";"0,52";"0,53";"13,50";"37,52";"1.316,15";"2.244,61";"360,00"
"14521180";"Elterlein, Stadt";"Gemeinden";"18.675,41";"5.816,92";"6,89";"6,89";"6,91";"6,91";"6,93";"7,06";"7,19";"0,31";"0,31";"0,31";"0,31";"0,31";"0,31";"0,33";"9,57";"34,85";"4.242,74";"1.662,39";"70,00"
"14521200";"Gelenau/Erzgeb.";"Gemeinden";"19.179,54";"6.170,80";"10,09";"10,09";"10,19";"10,24";"10,24";"10,24";"10,33";"0,85";"0,90";"0,90";"0,90";"0,90";"0,90";"0,90";"17,20";"20,94";"661,12";"1.348,87";"170,00"
"14521210";"Geyer, Stadt";"Gemeinden";"19.119,83";"6.058,87";"8,89";"9,00";"9,70";"9,75";"10,51";"10,94";"11,15";"1,72";"1,72";"2,37";"2,42";"2,64";"2,96";"2,96";"11,12";"35,31";"299,45";"555,38";"144,00"
"14521220";"Gornau/Erzgeb.";"Gemeinden";"20.860,16";"6.376,41";"13,55";"13,60";"13,60";"13,85";"13,95";"14,36";"14,41";"1,37";"1,37";"1,37";"1,52";"1,52";"1,62";"1,62";"15,71";"15,71";"1.885,59";"1.636,90";"88,00"
"14521230";"Gornsdorf";"Gemeinden";"19.620,53";"6.120,08";"25,06";"25,30";"25,30";"25,30";"25,54";"25,54";"25,54";"1,43";"1,43";"1,43";"1,67";"1,67";"1,67";"1,67";"14,30";"22,60";"542,82";"968,15";"58,00"
"14521240";"Großolbersdorf";"Gemeinden";"19.399,33";"6.006,35";"9,61";"9,66";"9,70";"9,75";"9,84";"9,92";"9,97";"0,44";"0,44";"0,44";"0,44";"0,44";"0,44";"0,49";"8,58";"26,49";"1.009,67";"1.419,74";"54,00"
"14521250";"Großrückerswalde";"Gemeinden";"17.860,04";"5.685,38";"11,82";"11,89";"11,89";"11,89";"12,01";"12,01";"12,05";"0,68";"0,68";"0,68";"0,68";"0,71";"0,71";"0,71";"4,83";"36,71";"3.005,46";"3.380,54";"103,00"
"14521260";"Grünhain-Beierfeld, Stadt";"Gemeinden";"20.138,17";"6.012,59";"14,47";"14,65";"14,56";"14,70";"14,97";"15,01";"15,24";"1,57";"1,62";"1,62";"1,71";"1,66";"1,66";"1,80";"7,66";"35,38";"601,13";"717,75";"167,00"
"14521270";"Grünhainichen";"Gemeinden";"19.246,72";"5.964,08";"9,37";"9,37";"9,37";"9,47";"9,61";"10,06";"10,17";"0,63";"0,63";"0,63";"0,66";"0,70";"0,80";"0,84";"19,58";"26,14";"3.363,68";"1.719,23";"106,00"
"14521280";"Heidersdorf";"Gemeinden";"17.863,18";"5.506,90";"8,41";"8,41";"8,41";"8,73";"8,94";"8,94";"8,94";"0,32";"0,32";"0,32";"0,53";"0,42";"0,42";"0,42";"30,42";"60,72";"1.394,27";"3.632,98";"26,00"
"14521290";"Hohndorf";"Gemeinden";"19.641,32";"6.026,02";"25,00";"25,19";"30,86";"31,24";"32,19";"32,38";"32,38";"1,15";"1,15";"4,76";"4,76";"4,76";"4,76";"4,76";"3,73";"18,84";"488,09";"1.013,99";"103,00"
"14521310";"Jahnsdorf/Erzgeb.";"Gemeinden";"20.940,96";"6.136,31";"16,90";"17,05";"17,35";"17,50";"17,54";"17,58";"17,65";"1,14";"1,14";"1,14";"1,22";"1,22";"1,22";"1,22";"11,94";"18,56";"1.120,40";"3.734,40";"116,00"
"14521320";"Johanngeorgenstadt, Stadt";"Gemeinden";"18.078,05";"6.797,20";"13,93";"13,89";"13,96";"14,19";"14,27";"14,30";"14,30";"1,96";"1,99";"1,99";"2,16";"2,20";"2,23";"2,23";"24,50";"49,78";"792,43";"1.150,45";"211,00"
"14521330";"Jöhstadt, Stadt";"Gemeinden";"17.230,64";"5.604,69";"5,71";"5,73";"5,75";"5,82";"5,84";"5,86";"5,98";"0,50";"0,50";"0,50";"0,54";"0,56";"0,56";"0,58";"13,41";"49,67";"3.593,07";"6.818,36";"112,00"
"14521340";"Königswalde";"Gemeinden";"18.181,23";"5.372,44";"7,59";"7,59";"7,64";"7,64";"7,69";"7,89";"7,89";"0,31";"0,31";"0,31";"0,31";"0,31";"0,36";"0,36";"7,68";"44,49";"966,29";"4.161,65";"56,00"
"14521355";"Lauter-Bernsbach, Stadt";"Gemeinden";"19.624,76";"5.973,07";"13,24";"13,24";"13,34";"13,38";"13,67";"13,80";"14,04";"1,19";"1,19";"1,22";"1,25";"1,32";"1,39";"1,39";"0,00";"33,67";"677,45";"754,96";"297,00"
"14521370";"Lößnitz, Stadt";"Gemeinden";"18.382,53";"6.040,16";"13,05";"13,09";"13,22";"13,22";"13,25";"13,25";"13,35";"0,89";"0,89";"0,92";"0,92";"0,92";"0,92";"0,95";"0,00";"28,32";"782,94";"925,32";"420,00"
"14521380";"Lugau/Erzgeb., Stadt";"Gemeinden";"20.205,00";"6.016,20";"16,42";"16,55";"16,55";"16,64";"16,82";"16,96";"17,18";"1,66";"1,66";"1,66";"1,66";"1,66";"1,75";"1,75";"8,13";"18,90";"883,13";"1.018,38";"276,00"
